Track name,Artist name,Album,Playlist name,Type,ISRC,Tidal - id
"Tangled","Ill Considered","Ill Considered","Favorites tracks","Favorite","UK5FX1700203","265342042"
"Godzilla","Vels Trio","Yellow Ochre","Favorites tracks","Favorite","DEZ651709763","184813364"
"Moonlight Woman","Ruby Rushton","Soul Jazz Records presents KALEIDOSCOPE - New Spirits Known and Unknown","Favorites tracks","Favorite","UKCFF1700048","148398776"
"Ventemedister","Emil de Waal","Vente","Favorites tracks","Favorite","DKY302101003","179817337"
"Vocoder","Floating Points","Vocoder","Favorites tracks","Favorite","GBCFB2200085","219443624"
"And I","Kee Avil","Crease","Favorites tracks","Favorite","CACQ22216205","209009656"
"Gospel Trane","Dezron Douglas","Force Majeure","Favorites tracks","Favorite","QM84B2038002","185033690"
"City Diamond","Reid Anderson","Golden Valley Is Now","Favorites tracks","Favorite","CH2701903770","115981201"
"Main Title","Lee Pardini","Main Title","Favorites tracks","Favorite","QZ2EW2000218","153993140"
"Untitled [City In Progress]","Broadcast","Maida Vale Sessions","Favorites tracks","Favorite","GBBPW2100025","219693433"
"Rough Air","Earthen Sea","Rough Air","Favorites tracks","Favorite","USNCB2223406","214022779"
"Sunshine's Theme","Dubtribe Sound System","Virtual Dreams: Ambient Explorations In The House & Techno Age, 1993-1997","Favorites tracks","Favorite","NLD7H2000047","162599228"
"Pastorale Vassant","Jon Hassell","Listening To Pictures (Pentimento Volume One)","Favorites tracks","Favorite","GB5P51700044","106697699"
"Somewhere in Between","Bugge Wesseltoft","New Conception of Jazz Box Set","Favorites tracks","Favorite","NOWAJ9601010","102550345"
"Breathe","Tonstartssbandht","Sorcerer","Favorites tracks","Favorite","QMV8L1623601","395273204"
"Neptune (The Planet)","The Bad Plus","Give","Favorites tracks","Favorite","USSM10315197","1315569"
"Mining (BTC)","Fogh Depot","Fogh Depot","Favorites tracks","Favorite","DERK91522402","144532588"
"Recoil","Nils Petter Molvær","Baboon Moon","Favorites tracks","Favorite","NOCLL1101030","7623580"
"St. Puma","Abekejser","St. Puma","Favorites tracks","Favorite","DKA511601001","70566939"
"Transparent World","Oh Sees","Drop","Favorites tracks","Favorite","QMFME1409503","74722598"
"Lateral Alice","Ride","Waking Up In Another Town: Weather Diaries Remixed","Favorites tracks","Favorite","GBDNH1700053","91080666"
"Don't Blow Experiment","Oh Sees","Don't Blow Experiment","Favorites tracks","Favorite","USA2Z2000965","156759487"
"Nasty Gal","Betty Davis","Nasty Gal","Favorites tracks","Favorite","GBAAN0401144","60141169"
"To The Earth","Dinosaur","To The Earth","Favorites tracks","Favorite","GBVEV2000170","132767612"
"Quicksilver Spoon","Fogh Depot","Turmalinturm","Favorites tracks","Favorite","DERK91626801","144531858"
"Oriental Folk Song","La Funk Mob","Blue Note Revisited","Favorites tracks","Favorite","USBN20400010","5204157"
"data.matrix","Ryoji Ikeda","dataplex","Favorites tracks","Favorite","DEAS90500018","294737608"
"Cannabis Leaf Rag 1","Nicholas Payton","Sonic Trance","Favorites tracks","Favorite","USWB10301251","233050"
"Potential","Alfa Mist","Antiphon","Favorites tracks","Favorite","USCGH1770625","103333667"
"Trouble","Dave Okumu","Knopperz","Favorites tracks","Favorite","GBKZV2100058","198124465"
"Miles Beyond","Tom Skinner","Undone: Live at the Crypt","Favorites tracks","Favorite","UKF2D1900042","120709885"
"In The Morning","Junior Boys","So This Is Goodbye","Favorites tracks","Favorite","GBCEL0600186","8013612"
"Will To Power","Springtime","Springtime","Favorites tracks","Favorite","USJZA2138601","193821566"
"Running on a Flame","Neue Grafik Ensemble","Running on a Flame","Favorites tracks","Favorite","GBMCZ0601646","203844064"
"You Will Never Work In Television Again","The Smile","You Will Never Work In Television Again","Favorites tracks","Favorite","GBBKS2100393","209316784"
"Locked And Loaded","Tony Allen","Tomorrow Comes The Harvest","Favorites tracks","Favorite","FRUM71801456","95465835"
"Each Millimeter Of The Toad, Part 1","Fire!","Defeat","Favorites tracks","Favorite","NOFGR2117020","169772592"
"Levitation 21","Tigran Hamasyan","Levitation 21","Favorites tracks","Favorite","USNO12000049","134193843"
"Held","Spoon","Lucifer On The Sofa","Favorites tracks","Favorite","USMTD2100353","213383157"
"The Smoke","The Smile","The Smoke","Favorites tracks","Favorite","GBBKS2100395","211433948"
"Opium","Woven Entity","Two","Favorites tracks","Favorite","UKEUK1600024","89991471"
"NOTHING TO ME","Darius","NOTHING TO ME","Favorites tracks","Favorite","FRX872181768","209037318"
"Magazine","Toro y Moi","MAHAL","Favorites tracks","Favorite","USJ5G2130003","210282391"
"Curse Your Fail","Broken Social Scene","Old Dead Young (B-Sides & Rarities)","Favorites tracks","Favorite","CAAA12120803","211560989"
"Geckos","Yoshinori Hayashi","Bjørn Torske/Prins Thomas Remixes","Favorites tracks","Favorite","NOSTS1837091","125059390"
"In a Silent Way","Miles Davis","In A Silent Way","Favorites tracks","Favorite","USSM10202653","3284755"
"Creepy","Milosh","You Make Me Feel","Favorites tracks","Favorite","TCABM1350601","40902791"
"Take Back The Radio","Katy J Pearson","Take Back The Radio","Favorites tracks","Favorite","GBPVV2003098","138462969"
"The Mice Inside This Room","The Marías","CINEMA","Favorites tracks","Favorite","USAT22100698","187907315"
"Fall in to Me","Emanative","Fall in to Me","Favorites tracks","Favorite","DGA052032593","164277696"
"Fly Away","sir Was","Holding On To A Dream","Favorites tracks","Favorite","GBCSG1900014","110798877"
"Supuki","Nihiloxica","Kaloli","Favorites tracks","Favorite","BE6F52000010","144219255"
"Powers 2 (The People)","Zeitgeist Freedom Energy Exchange","Sunny Side Up","Favorites tracks","Favorite","GBMEF1901158","179161253"
"Raum 2 (DJ Tennis Technoid Version)","Pole","DJ-Kicks (DJ Tennis) (DJ Mix)","Favorites tracks","Favorite","DEG931791845","184779290"
"Thème de Yoyo","The Art Ensemble of Chicago","american swinging in paris","Favorites tracks","Favorite","FRZ117006372","7721174"
"Empress","Lakker","Eris Harmonia","Favorites tracks","Favorite","IENNY1700009","77295653"
"DoDaDu","µ-ziq","Challenge Me Foolish","Favorites tracks","Favorite","USA2B1800544","84640234"
"Pop","UMFANG","Symbolic Use Of Light","Favorites tracks","Favorite","GBCFB1700044","72769560"
"Tunnel","pinch","Swish","Favorites tracks","Favorite","GBZSU0900100","200677863"
"Golden Star","My Brightest Diamond","Bring Me The Workhorse","Favorites tracks","Favorite","US64G0602302","212504328"
"Geometry Of You","Joan As Police Woman","Geometry Of You","Favorites tracks","Favorite","GBENL2103081","197111830"
"Gone Are the Days","Mirah","(A)SPERA","Favorites tracks","Favorite","USK110919507","162944724"
"Gone Away","My Brightest Diamond","Bring Me The Workhorse","Favorites tracks","Favorite","US64G0602303","212504329"
"Phase One Million","Vanishing Twin","The Lift","Favorites tracks","Favorite","GBCKK2158303","273063475"
"Want To (Sampler Version)","Letters Letters","Introducing Type","Favorites tracks","Favorite","GBJSN0899909","18739504"
"Hummingbird Skylight","Heather Woods Broderick","Hummingbird Skylight","Favorites tracks","Favorite","US78L2019013","129464431"
"Blueberry Beads","John Carroll Kirby","My Garden","Favorites tracks","Favorite","US2S72017001","185776923"
"Is It Enough","Alabaster DePlume","The Corner of a Sphere","Favorites tracks","Favorite","GBZDN1800023","87580537"
"Waiting","Fabiana Palladino","Paul Institute - Summer 2020","Favorites tracks","Favorite","GBBKS2000158","147523152"
"Chimera","Psychemagik","Architects & Waves","Favorites tracks","Favorite","USOM81463009","34632921"
"All the Sun That Shines","Peaking Lights","936","Favorites tracks","Favorite","GBCEL1100514","8162148"
"Come Together","The Internet","Hive Mind","Favorites tracks","Favorite","USSM11804478","91971803"
"Marilyn","Mount Kimbie","Love What Survives","Favorites tracks","Favorite","GBBPW1700087","78498209"
"A Cold Freezin' Night","The Books","The Way Out","Favorites tracks","Favorite","USY6C1018304","19265083"
"Andrew","Pom Poko","Cheater","Favorites tracks","Favorite","NOP9K2002030","168902088"
"Follow The Lights","Pom Poko","Birthday","Favorites tracks","Favorite","NOP9K1902030","103463444"
"Chalmin: Gameland","Katia Labèque","Landscapes: Minimalism","Favorites tracks","Favorite","ITP901300021","203565309"
"Empty Streets","Vibration Black Finger","Can You See What I'm Trying to Say","Favorites tracks","Favorite","USFR50630345","139997347"
"Winds Approaching","Hedvig Mollestad","Tempest Revisited","Favorites tracks","Favorite","NOFGR2123020","196895866"
"Chār","Hooshyar Khayam","RAAZ","Favorites tracks","Favorite","DEYN12000004","159727296"
"Visions of Excess","Daphne X","The Dissolution of Eva","Favorites tracks","Favorite","QZS632146142","191970338"
"Timeless Waves","Rudresh Mahanthappa","Revolution (Remix)","Favorites tracks","Favorite","QZ98W1900001","116252898"
"Last Night","Arooj Aftab","Vulture Prince","Favorites tracks","Favorite","QM87N2000004","208034745"
"Separate","Sorry","Separate / Cigarette Packet","Favorites tracks","Favorite","GBCEL2100093","174932444"
"Kurosawa At Berghain","Adam O'Farrill","Visions of Your Other","Favorites tracks","Favorite","QZLDD2100061","197705429"
"Autumn In New York","Makaya McCraven","Autumn In New York","Favorites tracks","Favorite","USUM72113033","197214541"
"Pesicolo","Tupperwear","Mokele Mbembe","Favorites tracks","Favorite","FRIDO2113212","203009419"
"Delta Estácio Blues","Juçara Marçal","Delta Estácio Blues","Favorites tracks","Favorite","BX0L22100069","283032451"
"Empty Streets","Vibration Black Finger","Can You See What I'm Trying to Say","Favorites tracks","Favorite","USFR50630345","139997347"
"Winds Approaching","Hedvig Mollestad","Tempest Revisited","Favorites tracks","Favorite","NOFGR2123020","196895866"
"Chār","Hooshyar Khayam","RAAZ","Favorites tracks","Favorite","DEYN12000004","159727296"
"Visions of Excess","Daphne X","The Dissolution of Eva","Favorites tracks","Favorite","QZS632146142","191970338"
"Timeless Waves","Rudresh Mahanthappa","Revolution (Remix)","Favorites tracks","Favorite","QZ98W1900001","116252898"
"Last Night","Arooj Aftab","Vulture Prince","Favorites tracks","Favorite","QM87N2000004","208034745"
"Separate","Sorry","Separate / Cigarette Packet","Favorites tracks","Favorite","GBCEL2100093","174932444"
"Kurosawa At Berghain","Adam O'Farrill","Visions of Your Other","Favorites tracks","Favorite","QZLDD2100061","197705429"
"Autumn In New York","Makaya McCraven","Autumn In New York","Favorites tracks","Favorite","USUM72113033","197214541"
"Pesicolo","Tupperwear","Mokele Mbembe","Favorites tracks","Favorite","FRIDO2113212","203009419"
"Delta Estácio Blues","Juçara Marçal","Delta Estácio Blues","Favorites tracks","Favorite","BX0L22100069","283032451"
"B-Flat Ontology","Marc Ribot's Ceramic Dog","Hope","Favorites tracks","Favorite","DEAM82100081","182367830"
"Transiti","Hear in Now","Not Living in Fear","Favorites tracks","Favorite","QM84B1712003","184811944"
"A Call for All Demons","Bitchin Bajas","Switched On Ra","Favorites tracks","Favorite","US58L2185102","198064641"
"The Goat","Pan Daijing","Jade","Favorites tracks","Favorite","QMB622111302","177765577"
"Hive Mind","Tirzah","Hive Mind","Favorites tracks","Favorite","GBCEL2100181","195292662"
"Gumbo’! 4 tha Folks, Hold On","PINK SIIFU","GUMBO'!","Favorites tracks","Favorite","QM24S2105383","192565893"
"A Random Belt. Rats You Out.","Fire!","Defeat","Favorites tracks","Favorite","NOFGR2117010","169772591"
"Occhi Di Serpente (Tropicantesimo RMX)","Wow","Falene","Favorites tracks","Favorite","UK9AV2101845","251524597"
"South","Wu-Lu","South","Favorites tracks","Favorite","DGA052098495","199069586"
"Telefunk","Jason Nazary","Spring Collection","Favorites tracks","Favorite","FIWJZ2100013","318716251"
"Touch.Don't Scroll","Ben LaMar Gay","Open Arms to Open Us","Favorites tracks","Favorite","QM84B2151012","194697474"
"Sometimes I Forget How Summer Looks on You.","Ben LaMar Gay","Open Arms to Open Us","Favorites tracks","Favorite","QM84B2151001","194697463"
"May Your Camp Be Sacred","Holy Tongue","II","Favorites tracks","Favorite","GBKQU2169951","309140457"
"En Echelon","Olivia Block","Innocent Passage in the Territorial Sea","Favorites tracks","Favorite","QMDA62132059","198764330"
"SUM1","Alpha Maid","CHUCKLE","Favorites tracks","Favorite","UK8261900629","177229706"
"Harlem Nocturne","The Lounge Lizards","The Lounge Lizards","Favorites tracks","Favorite","GBAAA8100236","1498698"
"The First and Royal Queen","The Lounge Lizards","Queen of All Ears","Favorites tracks","Favorite","USSBM0101501","4951200"
"Pire","Oceanvs Orientalis","Pire","Favorites tracks","Favorite","USA2B2102041","185189209"
"The Outer","Natacha Atlas","The Outer","Favorites tracks","Favorite","GX2682021001","180807955"
"For D_V","Anna vs June","Donne che Corrono coi Lupi","Favorites tracks","Favorite","NL3ZW2100046","202973801"
"El Matador","Kadavar","ELDOVAR - A Story of Darkness & Light","Favorites tracks","Favorite","DEZN72000005","207168851"
"Habla","Conclave","Conclave","Favorites tracks","Favorite","USYBL2101144","245892816"
"Answers","Andy Stott","Never The Right Time","Favorites tracks","Favorite","UK8261900599","176296291"
"Zentrifuge (Movement 3)","Henrik Schwarz","99%","Favorites tracks","Favorite","DEKH19902099","144374783"
"Anthem","Alana Yorke","Dream Magic","Favorites tracks","Favorite","CAJ9N1400007","50309739"
"Creation: The Joy of Being","María Grand","Reciprocity","Favorites tracks","Favorite","QZLDD2100025","176138669"
"I Said Cool, You Said…What?","Miho Hazama","I Said Cool, You Said…what?","Favorites tracks","Favorite","GBVEV2100161","188775850"
"abimé","Emma DJ","godrime","Favorites tracks","Favorite","UK8261900817","202514835"
"Desert Wind","Trigg & Gusset","Legacy of the Witty","Favorites tracks","Favorite","USCGH2063817","129953895"
"2FS","Kojey Radical","2FS / Woohaa","Favorites tracks","Favorite","GBAHS2100340","186416182"
"Imposter in the Sky","grouper","Wide","Favorites tracks","Favorite","USI4R1133350","25221562"
"Etude","Julian Lage","Squint","Favorites tracks","Favorite","USUM72023985","186523141"
"A Thing & Nothing","Whit Dickey","Village Mothership","Favorites tracks","Favorite","USEZ92180601","196296256"
"Nope","Vijay Iyer Sextet","Far From Over","Favorites tracks","Favorite","DEB331758103","79176200"
"XII","Manet","Tussmørke","Favorites tracks","Favorite","QZNWX2060609","165695784"
"Erich Zann","Free Nelson MandoomJazz","Awakening of a Capital","Favorites tracks","Favorite","GBYNS1500472","65151258"
"Give A Little","Ego Ella May","Give A Little","Favorites tracks","Favorite","QM6MZ2082740","212105607"
"Intoxication","Eivind Aarset","Phantasmagoria or a Different Kind of Journey","Favorites tracks","Favorite","NOWAJ2118010","190383355"
"4:11","Carl Oesterhelt","The Anatomy of Melancholy","Favorites tracks","Favorite","DEK591637405","87565563"
"2287","Bersarin Quartett","Methoden und Maschinen","Favorites tracks","Favorite","DERK91932302","144283948"
"Öngyilkos Vasárnap","Venetian Snares","Rossz Csillag Alatt Született","Favorites tracks","Favorite","US78Q0500003","52181230"
"Gloomy Club","Joel Fausto & Illusion Orchestra","Illusion Orchestra At The Gloomy Club","Favorites tracks","Favorite","GBSMU5703072","97344005"
"After Breake","Povarovo","Tchernovik","Favorites tracks","Favorite","DEZ651113933","159844802"
"The Queue","Radare","Im Argen","Favorites tracks","Favorite","DEGM91500119","88341296"
"Oscar","Fogh Depot","Turmalinturm","Favorites tracks","Favorite","DERK91626802","144531859"
"Orphan Drug","Fogh Depot","Fogh Depot","Favorites tracks","Favorite","DERK91522405","144532591"
"Escape","Swami LatePlate","Doom Jazz","Favorites tracks","Favorite","US58B1811606","92292845"
"White Condor","Trigg & Gusset","Legacy of the Witty","Favorites tracks","Favorite","USCGH2063814","129953892"
"Wikid Satellites","Nightmares On Wax","Shout Out! To Freedom...","Favorites tracks","Favorite","GBBPW2100158","202394830"
"Old Dirt","Zelienople","The World Is A House On Fire","Favorites tracks","Favorite","USQ981561206","52139980"
"Selenga","The Thing With Five Eyes","Noirabesque","Favorites tracks","Favorite","UK6821736509","82385017"
"Water Feature","Dream Carpets","Interior Fountains","Favorites tracks","Favorite","USYBL1901755","121270530"
"Tide of Hyacinth","Ambrose Akinmusire","on the tender spot of every calloused moment","Favorites tracks","Favorite","USUM72004829","143135337"
"SB-07","Unknown Mortal Orchestra","SB-07","Favorites tracks","Favorite","QM24S1927975","125962391"
"A Friend Is a Friend","Rejoicer","Voodoo at Home","Favorites tracks","Favorite","IL6721700538","200586639"
"Coliformia","Rejoicer","Voodoo at Home","Favorites tracks","Favorite","IL6721700536","200586637"
"My Pulse to Ponder","liars","The Apple Drop","Favorites tracks","Favorite","GBR8R2000308","192778018"
"White Teeth","Kay Young","White Teeth","Favorites tracks","Favorite","GBENL2103026","189089792"
"Oh My Country","Willy Mason","Oh My Country","Favorites tracks","Favorite","GBCEJ2000343","181410046"
"Tongues","Tanya Tagaq","Tongues","Favorites tracks","Favorite","CASB12113602","196592322"
"Le vent nous portera","Noir Désir","Des visages des figures","Favorites tracks","Favorite","FRZ010101340","77555205"
"Halluzinationen","Sophie Hunger","Halluzinationen","Favorites tracks","Favorite","CHD582000003","153418310"
"like Jenga (only it reaches all the way to the sky and it’s made of knives)","Mira Calix","absent origin","Favorites tracks","Favorite","GBBPW2100139","202394846"
"Reaction","Joan As Police Woman","The Solution Is Restless","Favorites tracks","Favorite","GBENL2102958","203081474"
"The Barbarian","Joan As Police Woman","The Solution Is Restless","Favorites tracks","Favorite","GBENL2102949","203081462"
"Be My Four Eyes","Mary Lattimore","Collected Pieces: 2015-2020","Favorites tracks","Favorite","US2J71801708","195112157"
"Tittle Tattle","Nubiyan Twist","Freedom Fables","Favorites tracks","Favorite","DEG932003543","184811659"
"My Friend Of Misery","Kamasi Washington","The Metallica Blacklist","Favorites tracks","Favorite","QMKHM2100053","196443358"
